Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
ph,SPDC,12/18/2022,cr,267.71,,pl,sab,0,"20"" Rumuekpe-Nkpoku TNP at Ibaa",4.9551306,6.7914111,Emuoha,la,RI,State
ph,SPDC,11/30/2022,cr,353,6,pl,sab,1,"24"" Nkpoku-Bomu Trunkline at Egbalor",4.7836167,7.1906111,Eleme,"la,ss",RI,State
wa,NPDC,11/26/2022,cr,230,122.6,pl,cor,2,10'' OGHAREFE - AMUKPE EXPORT PIPELINE OML 98,5.8659633,5.6928328,Sapele,la,RI,State
wa,Heritage,11/26/2022,cr,575,,pl,cor,3,28 TFP @ BATAN.,5.5625411,5.5517283,Warri-South,sw,RI,State
wa,NDWEST,10/25/2022,cr,125,,wh,sab,4,WELL 5 AT UGBODEDE,5.5260181,5.673681,Warri-South,sw,DE,State
by,NAOC,9/18/2022,cr,150,,pl,sab,5,18'' OBAMA/BRASS PIPELINE AT TEREKE,4.5770278,6.2761944,Nembe,sw,BY,State
ph,SPDC,8/25/2022,cr,103,103,pl,cor,6,"28"" Nkpoku-Bomu PL at Bodo, Gokana LGA, Rivers State",4.6292,7.2767,Gokana,,RI,State
by,NAOC,8/11/2022,cr,204.39,94,pl,sab,7,18'' OBAMAM/BRASS PIPELINE AT TEREKE,4.5744167,6.2749722,Nembe,sw,BY,State
by,NAOC,8/1/2022,cr,201,187,pl,sab,8,24'' OGODA/BRASS PIPELINE AT ETIAMA,4.5788889,6.3823611,Nembe,sw,BY,State
ph,Eroton E&P,7/10/2022,cr,6161.06,2642,wh,sab,9,Cawthorne Channel II Well 47,4.55943,7.01012,Degema,"iw,la,sw",RI,State
ph,NAOC,6/29/2022,cr,115.14,15,pl,sab,10,"24"" Ogoda/Brass pipeline @ Oshika community AWELGA, Rivers State.",5.0844167,6.5614167,Ahoada-West,ss,RI,State
ph,Eroton E&P,6/15/2022,cr,3741,2641,wh,sab,11,CAWC1 WELL 15 WELL HEAD,4.5446944,7.0428889,Degema,"iw,co",RI,State
wa,NPDC,5/17/2022,cr,175,100,pl,sab,12,10'' NPDC OML 98 OGHAREFE - AMUKPE EXPORT LINE ROW,5.9259164,5.7043092,Ethiope-West,ss,DE,State
wa,NPDC,5/10/2022,cr,128,125,pl,sab,13,10'' OREDO EXPORT LINE AT OLOGBO,6.0696033,5.6106567,Ikpoba-Okha,la,ED,State
wa,NDWEST,5/3/2022,cr,488.8,122.2,pl,sab,14,10'' UTOROGU UPS DELIVERY LINE AT OTOR-EDO,5.4760778,5.9021472,Ughelli-South,sw,DE,State
wa,Heritage,3/9/2022,cr,424,384,pl,eqf,15,16'' UZERE - ERIEMU TRUNKLINE @ IYEDE.,5.4991667,6.0836111,Isoko-North,la,DE,State
by,NAOC,3/5/2022,cr,1250,,pl,sab,16,24'' OGUDA/BRASS PIPELINE AT NEMBE,4.51875,6.3635,Nembe,sw,BY,State
wa,CONTINENTAL OIL AND GAS LIMITED,2/20/2022,cr,550,240,wh,sab,17,EKORKOR WELL 1 IN EKORKOR FIELD OML 150 @ EKORKOR/EROGHA,5.7105556,5.6711111,Okpe,sw,DE,State
ph,SPDC,1/19/2022,cr,179,20,pl,sab,18,"20'' KOLOCREEK - RUMUEKPE PIPELINE, ODAU (KM 8), ABUA/ODUAL, RIVERS STATE",4.927203,6.430334,Ogbia,la,RI,State
ph,SPDC,1/4/2022,cr,158,,pl,sab,19,"18'' ASSA-RUMUEKPE PIPELINE, RUMUEKPE, EMUOHA LGA, RIVERS STATE.",5.03132,6.70109,Emuoha,la,RI,State
ph,SPDC,12/28/2021,cr,170,22,pl,sab,20,"20"" KOLO CREEK RUMUEKPE PIPELINE @ ODAU IN RIVERS STATE.",4.928101,6.435957,Ogbia,la,RI,State
ph,Eroton E&P,12/1/2021,cr,804,,wh,sab,21,CAPTAIN- KIRI (AKASO WELL 7),4.5255278,7.0290278,Degema,,RI,State
ph,SPDC,10/8/2021,cr,125,,pl,sab,22,14'' OKORDIA-RUMUEKPE PIPE LINE @ IHUOWO COMMUNITY,5.000856,6.662345,Ahoada-East,la,RI,State
ph,Eroton E&P,10/7/2021,cr,3500,164,wh,ytd,23,"Orubiri Well7LS Wellhead @ Abila, in Alakiri District of R/S",4.686282,7.020571,Degema,ns,RI,State
